,id,name,city,cuisine,rating
6036,6036,Cosmos,Paris,"french, bar, european, pub",4.0
6038,6038,L'Adjuge,Paris,french,4.5
6039,6039,Les Flibustiers,Paris,"french, european",5.0
6040,6040,Mayya creperie,Paris,"french, japanese",4.5
6041,6041,Cafe du Musee,Paris,"french, cafe, european",4.0
6043,6043,Le Grill Astier,Paris,french,4.5
6044,6044,Les Entretiens,Paris,"french, bar, pub, wine bar",4.0
6045,6045,Le Peschadoires,Paris,french,4.5
6046,6046,Le Parisien,Paris,"french, cafe",4.0
6047,6047,Orient Extreme St Germain,Paris,"japanese, asian, sushi",3.5
6048,6048,L'Envie,Paris,"french, european",4.0
6049,6049,Le Bar a Sandwich,Paris,french,5.0
6050,6050,Cesar Ristorante Italiano,Paris,italian,4.0
6052,6052,Carnet de Voyage,Paris,"chinese, asian",3.5
6053,6053,Caminito,Paris,"argentinean, south american",4.0
6054,6054,Baci,Paris,italian,5.0
6055,6055,La Table de l'Ebeniste,Paris,french,4.0
6058,6058,Noura Montparnasse,Paris,"lebanese, mediterranean, middle eastern, vegetarian friendly",3.5
6059,6059,Comptoir de l'europe,Paris,"french, bar, european",3.5
6060,6060,21 Martorell,Paris,"french, european, vegetarian friendly",4.5
6061,6061,Hanawa Teppanyaki,Paris,"japanese, sushi, asian",3.5
6062,6062,Yoyo,Paris,sushi,4.5
6063,6063,Dacouar,Paris,"bar, wine bar, israeli, french, european, vegetarian friendly",4.5
6064,6064,Cafe Pouchkine,Paris,"french, russian",4.0
6065,6065,La Chambre aux Oiseaux,Paris,"french, cafe, vegetarian friendly",4.0
6066,6066,Restaurant Traiteur Mama Africa,Paris,african,4.5
6067,6067,La Petite Bretonne,Paris,"french, cafe",4.5
6069,6069,Wou Cha,Paris,"asian, taiwanese",4.5
6070,6070,Bi Good,Paris,"italian, french",5.0
6071,6071,The,Paris,asian,4.5
6072,6072,Mini Festin,Paris,"italian, french",4.5
6073,6073,Heng-Lay,Paris,vietnamese,4.0
6075,6075,Dalloyau,Paris,"french, cafe, european",4.0
6076,6076,R-Wan,Paris,italian,3.5
6077,6077,Friends & Family Restaurant,Paris,french,4.5
6078,6078,N 1 restaurant,Paris,chinese,4.5
6080,6080,Koyuki,Paris,japanese,4.5
6081,6081,Restaurant Quan Ngon,Paris,vietnamese,4.5
6082,6082,Villa del padre,Paris,"italian, pizza, european, vegetarian friendly",4.0
6083,6083,La Troika Libanaise,Paris,"lebanese, mediterranean, vegetarian friendly",4.0
6086,6086,Mavrommatis Aux Galeries Lafayettes Haussmann,Paris,"mediterranean, greek, vegetarian friendly",3.5
6087,6087,La Boucherie Vegetarienne,Paris,vegetarian friendly,4.5
6088,6088,Fuji Tomy,Paris,japanese,4.0
6089,6089,Mangiamo Italiano,Paris,"italian, pizza",4.0
6090,6090,Restaurant Panache,Paris,"italian, pizza",4.0
6091,6091,Tokyotori,Paris,"japanese, sushi, asian",4.0
6092,6092,Sukoshi,Paris,"japanese, sushi",3.5
6094,6094,Beccuti Bar,Paris,"italian, cafe",5.0
6095,6095,Le Mandarin,Paris,chinese,3.5
6097,6097,Little Bakery,Paris,french,4.5
6098,6098,Chez Ttotte,Paris,"french, spanish",4.0
6100,6100,Le Cafe M,Paris,"french, european",4.0
6102,6102,Shah Jahan,Paris,"mexican, indian",4.5
6103,6103,Taiyaki Paris,Paris,japanese,4.5
6105,6105,LE CENTRE TOUT NATURELLEMENT,Paris,vegan options,5.0
6107,6107,Salon de The,Paris,"french, cafe, european",4.5
6108,6108,Les Princes,Paris,"french, european",3.5
6109,6109,L'Ami Georges,Paris,"french, european, vegetarian friendly",3.5
6110,6110,La Cabane de Cape Cod,Paris,french,5.0
6111,6111,Souvlaki Athenien,Paris,greek,4.0
6112,6112,Pret A Manger,Paris,"cafe, french, fast food, soups, vegetarian friendly",4.0
6113,6113,Chez Alain,Paris,"european, french",4.0
6114,6114,Operasie,Paris,"asian, taiwanese, vietnamese",4.5
6115,6115,Viola,Paris,"italian, european, mediterranean, vegetarian friendly",3.5
6116,6116,T'webla,Paris,"moroccan, mediterranean",5.0
6118,6118,Likafo,Paris,"chinese, asian",4.0
6119,6119,Moutarde Street,Paris,american,3.5
6120,6120,Le Prevoyant,Paris,"bar, french, european",3.5
6121,6121,Pere Fouettard,Paris,"french, bar, european",3.5
6122,6122,Cojean Louvre,Paris,"fast food, european, healthy, soups, vegan options",4.0
6123,6123,Blue Siam,Paris,"asian, thai",3.5
6124,6124,Arlecchino,Paris,"italian, pizza",3.5
6125,6125,Breizh Cafe,Paris,"french, vegetarian friendly",3.5
6126,6126,Villa Positano,Paris,italian,4.5
6129,6129,Le Comptoir des Saint-Peres,Paris,"french, european, bar, cafe",3.5
6130,6130,Mandarin de paris,Paris,"french, chinese",4.5
6131,6131,Figue & Olive,Paris,"mediterranean, tunisian, greek, vegetarian friendly, vegan options",4.5
6132,6132,L'Excuse Bar Brasserie,Paris,french,4.0
6133,6133,Campanile,Paris,healthy,4.0
6134,6134,L'ile de Goree,Paris,african,4.5
6135,6135,Chungking Express,Paris,chinese,4.0
6136,6136,Burger N Juice,Paris,"french, american",4.5
6138,6138,La Donna,Paris,italian,4.0
6139,6139,Cafe La Colonnade,Paris,"french, cafe, european",3.5
6140,6140,Au Bon Couscous,Paris,"moroccan, mediterranean, middle eastern, arabic, african",4.0
6141,6141,Dokkebi,Paris,"asian, korean",4.0
