,id,name,city,rating,Reviews
2846,2846,Divellec,Paris,4.0,good visit excellent restaurant paris left bank
2847,2847,Marius et Janette,Paris,3.5,quintissential parisian seafood restaurant fabulous sole meuni╠¼re!
2848,2848,Angelina Maillot,Paris,4.0,iconic establishment mont-blanc
2849,2849,Dixit,Paris,5.0,good nice people trendy
2850,2850,Chez Margot,Paris,4.0,pouring rainy night paris - a... great service
2851,2851,La Maison Austerlitz,Paris,4.5,nice place superb burgers
2852,2852,Quatre amis,Paris,4.0,amazing food delightful
2853,2853,Da Zagara,Paris,4.5,calm terrace excellent meal
2854,2854,Chez Celeste,Paris,4.0,cap vert portuguese cuisine cape verdean food & portuguese music
2855,2855,La Cremerie,Paris,4.0,lovely wine bar vins naturels change pace try local wine...
2856,2856,Maca'Rong,Paris,5.0,excellent macarons hidden gem
2857,2857,Les Cent Kilos,Paris,4.0,great !!! surprisingly good
2858,2858,Cafe di Roma,Paris,3.5,terrible service great lasagna italian night paris
2859,2859,Le Bon Jour,Paris,4.0,typical french resturant excellent 30th birthday dinner
2860,2860,Le Franc Tireur,Paris,4.0,nice atmosphere really good service great food/ good prices
2861,2861,La Divina Commedia,Paris,4.5,italian delight paris excellent italian food dinner near saint g...
2862,2862,Il Ristretto,Paris,4.5,small place genuine italian food great place nice food
2863,2863,Pere Fecto,Paris,4.5,excellent understated amazing food service
2864,2864,Bistrot Pop,Paris,4.0,friendly bistro delicious food great staff great atmosphere!
2865,2865,Madame Mozarella,Paris,5.0,delicious pizza!
2866,2866,Homard & Chips,Paris,4.5,good price; lobster ok
2867,2867,Borneo a Paris,Paris,4.5,authentic indonesian food taste! affordable nice atmosphere gado-gado...
2868,2868,La Bonne Chaise,Paris,4.0,good food great food great price
2869,2869,LA PLANQUE,Paris,4.0,nice restaurant nice lemonade
2870,2870,L'Aligot,Paris,4.5,excellent!
2871,2871,Le Louvre Ripaille,Paris,4.5,good french restaurant near louvre fantastic lunch close louvre museum
2872,2872,Le Dit Vin,Paris,4.5,favorite find paris second time upped rating
